audit_id,actor_user_id,actor_role,action_type,entity_type,entity_id,outcome,framework_tags,details,created_at
AU0161,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-09T23:08:19+00:00
AU0162,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-09T23:11:26+00:00
AU0163,U0019,Harbourmaster,system_access,session,U0019,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-13T13:47:05+00:00
AU0164,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T12:50:12+00:00
AU0165,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T12:50:50+00:00
AU0166,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T13:10:16+00:00
AU0167,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T13:24:38+00:00
AU0168,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T13:32:30+00:00
AU0169,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T13:35:30+00:00
AU0170,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T13:36:01+00:00
AU0171,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T13:41:20+00:00
AU0172,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:43:55+00:00
AU0173,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:44:11+00:00
AU0174,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:44:14+00:00
AU0175,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:45:38+00:00
AU0176,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:45:41+00:00
AU0177,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:45:52+00:00
AU0178,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:46:17+00:00
AU0179,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T13:46:49+00:00
AU0180,U0006,Administrator,create,notification_rule,NR0008,Success,GDPR|IMO|Port Governance,Created notification rule.,2026-05-30T13:51:43+00:00
AU0181,U0006,Administrator,delete,notification_rule,NR0008,Success,GDPR|IMO|Port Governance,Deleted notification rule.,2026-05-30T13:52:24+00:00
AU0182,U0006,Administrator,create,location,L0509,Success,GDPR|IMO|Port Governance,Created location record.,2026-05-30T13:53:11+00:00
AU0183,U0006,Administrator,delete,location,L0453,Success,GDPR|IMO|Port Governance,Deleted location record.,2026-05-30T13:54:29+00:00
AU0184,U0006,Administrator,create,location,L0453,Success,GDPR|IMO|Port Governance,Created location record.,2026-05-30T13:54:46+00:00
AU0185,U0006,Administrator,create,location,L0510,Success,GDPR|IMO|Port Governance,Created location record.,2026-05-30T13:55:13+00:00
AU0186,U0006,Administrator,create,location,L0511,Success,GDPR|IMO|Port Governance,Created location record.,2026-05-30T13:55:19+00:00
AU0187,U0006,Administrator,create,location,L0512,Success,GDPR|IMO|Port Governance,Created location record.,2026-05-30T13:55:21+00:00
AU0188,U0006,Administrator,create,route,R0501,Success,GDPR|IMO|Port Governance,Created route record.,2026-05-30T13:56:44+00:00
AU0189,U0006,Administrator,delete,route,R0501,Success,GDPR|IMO|Port Governance,Deleted route record.,2026-05-30T13:57:01+00:00
AU0190,U0006,Administrator,create,vessel_path,VP0008,Success,GDPR|IMO|Port Governance,Created vessel path record.,2026-05-30T13:57:41+00:00
AU0191,U0006,Administrator,delete,vessel_path,VP0008,Success,GDPR|IMO|Port Governance,Deleted vessel path record.,2026-05-30T13:58:02+00:00
AU0192,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T14:10:02+00:00
AU0193,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T14:11:14+00:00
AU0194,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T14:16:03+00:00
AU0195,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T14:20:04+00:00
AU0196,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T14:27:45+00:00
AU0197,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T14:28:25+00:00
AU0198,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T14:28:46+00:00
AU0199,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T14:29:23+00:00
AU0200,U0006,Administrator,generate,analytics_report,custom,Success,GDPR|IMO|Port Governance,Generated filtered analytics report.,2026-05-30T14:29:36+00:00
AU0201,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T14:30:42+00:00
AU0202,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-05-30T14:35:36+00:00
